City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
174,Iquitos,-3.7481,-73.2472,75.2,94,75,14.97,PE,2021-04-18 22:36:42
175,Senador Jose Porfirio,-2.5908,-51.9542,72.48,98,100,2.53,BR,2021-04-18 22:36:42
176,Mogzon,51.7435,111.9606,22.78,38,62,2.62,RU,2021-04-18 22:36:42
177,Kavieng,-2.5744,150.7967,83.86,70,95,5.68,PG,2021-04-18 22:36:42
178,Grand Island,40.925,-98.342,64.4,25,1,9.22,US,2021-04-18 22:35:11
179,Sampit,-2.5333,112.95,72.43,96,100,1.52,ID,2021-04-18 22:36:43
180,Leh,34.1667,77.5833,27.81,69,93,4.41,IN,2021-04-18 22:36:43
181,Akyab,20.15,92.9,76.95,82,0,5.75,MM,2021-04-18 22:36:43
182,Kovdor,67.5662,30.4758,31.51,98,47,5.57,RU,2021-04-18 22:36:44
183,Xichang,27.8964,102.2634,57.2,81,74,1.19,CN,2021-04-18 22:36:44
184,Ust-Omchug,61.15,149.6333,27.93,90,100,2.91,RU,2021-04-18 22:36:45
185,Chuy,-33.6971,-53.4616,63.36,78,0,7.56,UY,2021-04-18 22:36:45
186,Napier,-39.4833,176.9167,66.0,57,29,3.0,NZ,2021-04-18 22:36:45
187,Requena,39.4883,-1.1004,51.01,81,0,5.75,ES,2021-04-18 22:36:46
188,Biak,-0.9131,122.8766,74.95,85,100,6.67,ID,2021-04-18 22:36:46
189,Sorong,-0.8833,131.25,78.24,84,100,8.23,ID,2021-04-18 22:36:46
190,Port Shepstone,-30.7414,30.455,68.04,58,19,9.35,ZA,2021-04-18 22:36:47
191,Tautira,-17.7333,-149.15,86.0,66,20,3.44,PF,2021-04-18 22:32:38
192,Algeciras,36.1333,-5.4505,62.6,88,44,9.22,ES,2021-04-18 22:36:47
193,Qaqortoq,60.7167,-46.0333,30.2,29,75,4.25,GL,2021-04-18 22:36:47
194,Tadine,-21.55,167.8833,79.23,81,83,12.19,NC,2021-04-18 22:36:48
195,Kenai,60.5544,-151.2583,48.2,49,90,11.5,US,2021-04-18 22:36:48
196,Tambo Grande,-4.9269,-80.3447,83.08,56,88,10.89,PE,2021-04-18 22:36:48
197,Dwarka,22.2394,68.9678,79.47,83,29,15.28,IN,2021-04-18 22:36:49
198,Deputatskiy,69.3,139.9,6.66,88,70,4.16,RU,2021-04-18 22:36:49
199,Martapura,-3.4167,114.85,73.4,100,100,1.14,ID,2021-04-18 22:36:49
200,Fengxian,34.7039,116.5872,51.04,53,1,5.91,CN,2021-04-18 22:36:50
201,Takoradi,4.8845,-1.7554,75.85,87,100,4.94,GH,2021-04-18 22:35:11
202,Falun,60.6036,15.626,34.0,80,4,5.75,SE,2021-04-18 22:36:51
203,Shalinskoye,55.7228,93.7594,34.61,88,100,12.97,RU,2021-04-18 22:36:51
204,Guangzhou,23.1167,113.25,72.0,94,90,4.47,CN,2021-04-18 22:36:52
205,Kyra,49.5776,111.9753,30.15,34,27,1.95,RU,2021-04-18 22:36:52
206,Macas,-2.3167,-78.1167,77.0,65,40,6.91,EC,2021-04-18 22:36:52
207,Tura,25.5198,90.2201,66.76,91,39,4.25,IN,2021-04-18 22:36:53
208,Pinawa,50.1489,-95.8811,31.23,76,100,11.81,CA,2021-04-18 22:36:53
209,Ossora,59.2353,163.0719,32.07,88,98,3.04,RU,2021-04-18 22:36:53
210,Vostok,46.4856,135.8833,40.77,66,34,12.77,RU,2021-04-18 22:36:54
211,Tabat,-2.635,115.2274,73.45,93,100,0.2,ID,2021-04-18 22:36:54
212,Maniitsoq,65.4167,-52.9,15.76,64,98,13.73,GL,2021-04-18 22:36:54
213,Pevek,69.7008,170.3133,21.27,94,100,14.67,RU,2021-04-18 22:36:55
214,Isangel,-19.55,169.2667,82.4,74,75,9.22,VU,2021-04-18 22:36:55
215,Rocha,-34.4833,-54.3333,59.95,92,3,6.8,UY,2021-04-18 22:36:55
216,Quatre Cocos,-20.2078,57.7625,78.8,89,75,11.5,MU,2021-04-18 22:36:56
217,Fuzhou,26.0614,119.3061,60.8,63,0,11.18,CN,2021-04-18 22:36:56
218,Kutum,14.2,24.6667,73.27,8,15,5.82,SD,2021-04-18 22:36:56
219,Cabo San Lucas,22.8909,-109.9124,84.2,28,1,8.05,MX,2021-04-18 22:32:09
220,Cayenne,4.9333,-52.3333,80.01,94,93,3.44,GF,2021-04-18 22:35:08
221,Bowen,-20.0167,148.2333,75.2,78,75,10.36,AU,2021-04-18 22:36:57
222,Belyy Yar,53.6039,91.3903,35.6,69,0,6.82,RU,2021-04-18 22:36:57
223,Maningrida,-12.0667,134.2667,76.86,75,99,10.0,AU,2021-04-18 22:36:58
224,Palana,59.1167,159.9667,31.05,96,43,4.14,RU,2021-04-18 22:36:58
225,Cherskiy,68.75,161.3,26.04,91,82,17.65,RU,2021-04-18 22:36:58
226,Ajaccio,42.0,8.9167,46.4,87,0,4.61,FR,2021-04-18 22:36:58
227,Lavrentiya,65.5833,-171.0,30.54,88,94,4.81,RU,2021-04-18 22:35:49
228,Erenhot,43.6475,111.9767,47.64,35,55,11.14,CN,2021-04-18 22:36:59
229,Thinadhoo,0.5333,72.9333,82.26,64,89,7.31,MV,2021-04-18 22:36:59
230,Rockhampton,-23.3833,150.5,69.8,64,0,6.91,AU,2021-04-18 22:36:59
231,East London,-33.0153,27.9116,74.7,30,0,6.46,ZA,2021-04-18 22:37:00
232,Hajdudorog,47.8167,21.5,44.6,100,75,4.61,HU,2021-04-18 22:37:00
233,Zyryanovsk,49.7386,84.2719,35.51,84,84,0.18,KZ,2021-04-18 22:37:00
234,Bilibino,68.0546,166.4372,25.11,91,100,9.78,RU,2021-04-18 22:37:01
235,Vestmanna,62.1564,-7.1664,42.8,93,75,6.91,FO,2021-04-18 22:37:01
236,Ketchikan,55.3422,-131.6461,71.6,24,1,16.11,US,2021-04-18 22:37:01
237,Cockburn Town,21.4612,-71.1419,80.6,78,20,9.22,TC,2021-04-18 22:37:01
238,Merauke,-8.4667,140.3333,78.6,88,100,8.59,ID,2021-04-18 22:37:02
239,Foeni,47.7,22.3833,46.4,93,90,7.23,RO,2021-04-18 22:37:02
240,Shamary,57.3434,58.2199,26.08,48,0,5.46,RU,2021-04-18 22:37:03
241,Ahipara,-35.1667,173.1667,64.47,53,86,4.41,NZ,2021-04-18 22:37:04
242,Kidal,18.4411,1.4078,88.14,13,49,11.72,ML,2021-04-18 22:37:04
243,Hobyo,5.3505,48.5268,82.47,72,61,10.65,SO,2021-04-18 22:32:08
244,Labytnangi,66.6572,66.4183,-3.19,90,24,5.68,RU,2021-04-18 22:37:05
245,Nyurba,63.2842,118.3319,11.32,89,100,3.58,RU,2021-04-18 22:37:05
246,Osoyoos,49.0331,-119.4524,78.8,25,80,3.44,CA,2021-04-18 22:37:05
247,Mareeba,-17.0,145.4333,73.99,100,75,4.61,AU,2021-04-18 22:37:05
